FECHA;CC;WAPP;TP;TAD;PP
2023-05-03;51;28;154;51;9
2023-05-04;37;22;193;38;18
2023-05-05;45;34;151;39;16
2023-05-08;42;28;158;43;18
2023-05-09;31;23;179;38;12
2023-05-10;58;28;132;29;11
2023-05-11;45;16;169;42;14
2023-05-12;48;18;169;33;17
2023-05-15;50;24;188;41;24
2023-05-16;52;19;151;53;11
2023-05-17;34;17;137;48;12
2023-05-18;50;17;162;48;31
2023-05-19;38;15;132;31;7
2023-05-22;39;17;146;37;17
2023-05-23;35;27;129;32;14
2023-05-24;22;16;90;28;10
2023-05-29;37;24;162;34;16
2023-05-30;47;34;143;50;11
2023-05-31;47;21;120;47;20
2023-06-01;36;20;143;37;11
2023-06-02;41;20;132;29;15
2023-06-05;48;25;126;50;19
2023-06-06;54;40;109;35;12
2023-06-07;51;41;177;30;12
2023-06-08;53;23;162;39;11
2023-06-09;32;26;147;25;13
2023-06-12;40;39;151;33;8
2023-06-13;37;44;167;43;15
2023-06-14;56;40;140;41;14
2023-06-15;57;26;135;35;6
2023-06-16;38;23;67;27;11
2023-06-21;34;51;44;43;10
2023-06-22;48;49;131;44;12
2023-06-23;49;38;164;47;17
2023-06-26;47;35;170;46;18
2023-06-27;52;26;144;47;18
2023-06-28;50;29;148;29;19
2023-06-29;40;32;169;39;10
2023-06-30;36;18;138;28;15
2023-07-03;50;28;165;53;31
2023-07-04;59;52;154;33;11
2023-07-05;61;33;149;37;13
2023-07-06;52;32;85;44;7
2023-07-07;51;21;82;32;6
2023-07-10;66;50;207;49;9
2023-07-11;62;45;192;44;28
2023-07-12;67;63;116;33;5
2023-07-13;58;49;88;33;6
2023-07-14;32;28;165;45;13
2023-07-17;61;38;194;41;18
2023-07-18;45;33;144;39;9
2023-07-19;49;28;156;37;8
2023-07-20;36;19;137;32;15
2023-07-21;30;27;145;41;13
2023-07-24;34;35;163;48;10
2023-07-25;49;37;141;41;9
2023-07-26;44;32;116;45;7
2023-07-27;50;29;148;22;12
2023-07-28;35;22;139;32;7
2023-07-31;25;34;151;45;2
2023-08-01;37;30;157;37;14
2023-08-02;29;26;126;58;14
2023-08-03;29;23;128;44;11
2023-08-04;25;33;128;31;6
2023-08-07;46;32;146;29;9
2023-08-08;32;32;148;40;10
2023-08-09;37;16;148;25;7
2023-08-10;56;19;145;29;10
2023-08-11;43;21;119;38;13
2023-08-14;39;33;134;37;13
2023-08-15;5;33;124;39;9
2023-08-16;28;30;114;41;12
2023-08-17;32;20;83;29;11
2023-08-18;22;24;99;29;10
2023-08-22;28;23;130;36;11
2023-08-23;34;27;132;39;9
2023-08-24;30;20;104;31;12
2023-08-25;26;19;96;38;8
2023-08-28;38;22;132;28;6
2023-08-29;27;25;68;41;6
2023-08-30;38;14;98;42;7
2023-08-31;23;22;78;31;5
2023-09-01;38;19;99;20;5
2023-09-04;47;27;111;32;10
2023-09-05;40;25;95;36;9
2023-09-06;53;36;101;28;7
2023-09-07;43;17;74;32;7
2023-09-08;41;15;80;34;6
2023-09-11;22;27;107;38;7
2023-09-12;36;26;184;25;12
2023-09-13;35;21;140;51;7
2023-09-14;32;30;186;31;15
2023-09-15;46;29;168;41;9
2023-09-18;35;29;83;37;7
2023-09-19;36;25;156;37;14
2023-09-20;37;26;144;34;10
2023-09-21;31;21;151;38;11
2023-09-22;31;14;66;30;9
2023-09-25;33;20;112;38;12
2023-09-26;22;13;118;42;6
2023-09-27;39;17;108;42;6
2023-09-28;26;26;111;40;10
2023-09-29;22;12;116;27;9
